Unique identification number of the institution,Level of student,Grand total,Grand total men,Grand total women,American Indian or Alaska Native total,American Indian or Alaska Native men,American Indian or Alaska Native women,Asian total,Asian men,Asian women,Black or African American total,Black or African American men,Black or African American women,Hispanic or Latino total,Hispanic or Latino men,Hispanic or Latino women,Native Hawaiian or Other Pacific Islander total,Native Hawaiian or Other Pacific Islander men,Native Hawaiian or Other Pacific Islander women,White total,White men,White women,Two or more races total,Two or more races men,Two or more races women,Race/ethnicity unknown total,Race/ethnicity unknown men,Race/ethnicity unknown women,Nonresident alien total,Nonresident alien men,Nonresident alien women
101505,Total students enrolled for credit,13564,5377,8187,39,16,23,246,119,127,2909,961,1948,488,180,308,15,9,6,9091,3766,5325,397,146,251,145,70,75,234,110,124
101505,Undergraduate students,13564,5377,8187,39,16,23,246,119,127,2909,961,1948,488,180,308,15,9,6,9091,3766,5325,397,146,251,145,70,75,234,110,124
101514,Total students enrolled for credit,15185,7065,8120,193,88,105,369,154,215,2643,1132,1511,681,284,397,10,5,5,10387,4995,5392,604,251,353,175,93,82,123,63,60
101514,Undergraduate students,15185,7065,8120,193,88,105,369,154,215,2643,1132,1511,681,284,397,10,5,5,10387,4995,5392,604,251,353,175,93,82,123,63,60
101541,Total students enrolled for credit,467,8,459,3,1,2,7,1,6,70,1,69,4,0,4,0,0,0,281,4,277,2,0,2,100,1,99,0,0,0
101541,Undergraduate students,467,8,459,3,1,2,7,1,6,70,1,69,4,0,4,0,0,0,281,4,277,2,0,2,100,1,99,0,0,0
101569,Total students enrolled for credit,4588,1895,2693,10,4,6,32,14,18,3713,1379,2334,69,32,37,5,3,2,709,435,274,31,18,13,6,2,4,13,8,5
101569,Undergraduate students,4588,1895,2693,10,4,6,32,14,18,3713,1379,2334,69,32,37,5,3,2,709,435,274,31,18,13,6,2,4,13,8,5
101587,Total students enrolled for credit,6029,1709,4320,39,11,28,13,6,7,2210,609,1601,69,27,42,3,0,3,3159,844,2315,92,37,55,267,79,188,177,96,81
101587,Undergraduate students,2282,1027,1255,6,4,2,5,3,2,968,399,569,42,20,22,2,0,2,1012,461,551,42,25,17,88,42,46,117,73,44
101587,Graduate student,3747,682,3065,33,7,26,8,3,5,1242,210,1032,27,7,20,1,0,1,2147,383,1764,50,12,38,179,37,142,60,23,37
101602,Total students enrolled for credit,2319,968,1351,14,10,4,12,4,8,504,172,332,39,24,15,0,0,0,1696,734,962,36,14,22,11,6,5,7,4,3
101602,Undergraduate students,2319,968,1351,14,10,4,12,4,8,504,172,332,39,24,15,0,0,0,1696,734,962,36,14,22,11,6,5,7,4,3
101648,Total students enrolled for credit,448,350,98,3,3,0,20,14,6,87,66,21,48,36,12,1,1,0,263,213,50,23,15,8,3,2,1,0,0,0
101648,Undergraduate students,448,350,98,3,3,0,20,14,6,87,66,21,48,36,12,1,1,0,263,213,50,23,15,8,3,2,1,0,0,0
101675,Total students enrolled for credit,2065,1046,1019,2,1,1,2,2,0,1882,928,954,12,4,8,0,0,0,41,35,6,22,12,10,104,64,40,0,0,0
101675,Undergraduate students,2065,1046,1019,2,1,1,2,2,0,1882,928,954,12,4,8,0,0,0,41,35,6,22,12,10,104,64,40,0,0,0
101693,Total students enrolled for credit,1725,593,1132,22,4,18,19,5,14,450,115,335,35,9,26,1,1,0,1029,380,649,46,17,29,55,20,35,68,42,26
101693,Undergraduate students,1576,567,1009,17,3,14,18,5,13,384,107,277,34,9,25,1,1,0,966,366,600,46,17,29,44,19,25,66,40,26
101693,Graduate student,149,26,123,5,1,4,1,0,1,66,8,58,1,0,1,0,0,0,63,14,49,0,0,0,11,1,10,2,2,0
101709,Total students enrolled for credit,3063,955,2108,11,3,8,24,8,16,467,143,324,121,48,73,0,0,0,2169,651,1518,83,24,59,144,54,90,44,24,20
101709,Undergraduate students,2580,833,1747,11,3,8,22,8,14,402,126,276,110,44,66,0,0,0,1800,563,1237,78,23,55,120,46,74,37,20,17
101709,Graduate student,483,122,361,0,0,0,2,0,2,65,17,48,11,4,7,0,0,0,369,88,281,5,1,4,24,8,16,7,4,3
101736,Total students enrolled for credit,5167,2203,2964,46,14,32,24,12,12,586,226,360,242,100,142,4,1,3,4127,1784,2343,16,8,8,91,41,50,31,17,14
101736,Undergraduate students,5167,2203,2964,46,14,32,24,12,12,586,226,360,242,100,142,4,1,3,4127,1784,2343,16,8,8,91,41,50,31,17,14
101879,Total students enrolled for credit,8315,3359,4956,87,31,56,56,19,37,1149,491,658,204,91,113,5,2,3,6048,2358,3690,195,78,117,236,110,126,335,179,156
101879,Undergraduate students,6873,2780,4093,73,26,47,36,9,27,966,433,533,185,86,99,5,2,3,4963,1921,3042,175,68,107,219,102,117,251,133,118
101879,Graduate student,1442,579,863,14,5,9,20,10,10,183,58,125,19,5,14,0,0,0,1085,437,648,20,10,10,17,8,9,84,46,38
101897,Total students enrolled for credit,3680,1443,2237,112,47,65,16,5,11,71,27,44,316,127,189,0,0,0,3116,1220,1896,38,12,26,1,0,1,10,5,5
101897,Undergraduate students,3680,1443,2237,112,47,65,16,5,11,71,27,44,316,127,189,0,0,0,3116,1220,1896,38,12,26,1,0,1,10,5,5
101912,Total students enrolled for credit,1935,817,1118,9,5,4,5,2,3,1640,713,927,70,25,45,0,0,0,20,1,19,0,0,0,69,23,46,122,48,74
101912,Undergraduate students,1877,789,1088,9,5,4,4,1,3,1602,690,912,68,24,44,0,0,0,9,1,8,0,0,0,66,21,45,119,47,72
101912,Graduate student,58,28,30,0,0,0,1,1,0,38,23,15,2,1,1,0,0,0,11,0,11,0,0,0,3,2,1,3,1,2
101949,Total students enrolled for credit,1857,812,1045,22,9,13,3,1,2,799,332,467,17,10,7,0,0,0,987,447,540,15,3,12,14,10,4,0,0,0
101949,Undergraduate students,1857,812,1045,22,9,13,3,1,2,799,332,467,17,10,7,0,0,0,987,447,540,15,3,12,14,10,4,0,0,0
101994,Total students enrolled for credit,701,252,449,8,2,6,0,0,0,396,100,296,2,2,0,1,0,1,285,146,139,7,1,6,2,1,1,0,0,0
101994,Undergraduate students,701,252,449,8,2,6,0,0,0,396,100,296,2,2,0,1,0,1,285,146,139,7,1,6,2,1,1,0,0,0
102030,Total students enrolled for credit,4763,1932,2831,46,12,34,99,41,58,2879,1092,1787,90,45,45,3,3,0,1456,650,806,77,27,50,17,4,13,96,58,38
102030,Undergraduate students,4763,1932,2831,46,12,34,99,41,58,2879,1092,1787,90,45,45,3,3,0,1456,650,806,77,27,50,17,4,13,96,58,38
102049,Total students enrolled for credit,5956,2122,3834,21,9,12,99,30,69,581,208,373,187,75,112,1,0,1,4729,1640,3089,102,42,60,90,33,57,146,85,61
102049,Undergraduate students,3446,1197,2249,6,2,4,41,15,26,256,119,137,135,52,83,0,0,0,2831,923,1908,62,25,37,26,12,14,89,49,40
102049,Graduate student,2510,925,1585,15,7,8,58,15,43,325,89,236,52,23,29,1,0,1,1898,717,1181,40,17,23,64,21,43,57,36,21
102058,Total students enrolled for credit,405,176,229,0,0,0,0,0,0,388,162,226,6,5,1,0,0,0,10,9,1,0,0,0,1,0,1,0,0,0
102058,Undergraduate students,389,165,224,0,0,0,0,0,0,372,151,221,6,5,1,0,0,0,10,9,1,0,0,0,1,0,1,0,0,0
