Unique identification number of the institution,Level of student,Grand total,Grand total men,Grand total women,American Indian or Alaska Native total,American Indian or Alaska Native men,American Indian or Alaska Native women,Asian total,Asian men,Asian women,Black or African American total,Black or African American men,Black or African American women,Hispanic or Latino total,Hispanic or Latino men,Hispanic or Latino women,Native Hawaiian or Other Pacific Islander total,Native Hawaiian or Other Pacific Islander men,Native Hawaiian or Other Pacific Islander women,White total,White men,White women,Two or more races total,Two or more races men,Two or more races women,Race/ethnicity unknown total,Race/ethnicity unknown men,Race/ethnicity unknown women,Nonresident alien total,Nonresident alien men,Nonresident alien women
187134,Undergraduate students,7212,3033,4179,13,7,6,785,315,470,460,209,251,927,387,540,14,8,6,4670,1988,2682,29,9,20,286,99,187,28,11,17
187134,Graduate student,1580,429,1151,1,0,1,61,21,40,62,13,49,93,14,79,6,1,5,914,203,711,2,0,2,439,176,263,2,1,1
187198,Total students enrolled for credit,13902,5338,8564,52,20,32,626,269,357,3833,1338,2495,4632,1730,2902,47,14,33,2757,1175,1582,143,61,82,1577,647,930,235,84,151
187198,Undergraduate students,13902,5338,8564,52,20,32,626,269,357,3833,1338,2495,4632,1730,2902,47,14,33,2757,1175,1582,143,61,82,1577,647,930,235,84,151
187444,Total students enrolled for credit,12687,5376,7311,9,5,4,878,404,474,1845,731,1114,3377,1350,2027,8,5,3,5718,2493,3225,317,135,182,428,199,229,107,54,53
187444,Undergraduate students,10743,4887,5856,9,5,4,743,365,378,1695,704,991,3063,1272,1791,6,4,2,4521,2196,2325,285,126,159,375,191,184,46,24,22
187444,Graduate student,1944,489,1455,0,0,0,135,39,96,150,27,123,314,78,236,2,1,1,1197,297,900,32,9,23,53,8,45,61,30,31
187505,Total students enrolled for credit,1582,188,1394,18,0,18,10,0,10,405,41,364,591,111,480,0,0,0,354,21,333,45,6,39,159,9,150,0,0,0
187505,Undergraduate students,1582,188,1394,18,0,18,10,0,10,405,41,364,591,111,480,0,0,0,354,21,333,45,6,39,159,9,150,0,0,0
187532,Total students enrolled for credit,36784,15828,20956,2367,960,1407,773,315,458,1010,498,512,18142,7507,10635,81,35,46,10984,5036,5948,843,358,485,2561,1114,1447,23,5,18
187532,Undergraduate students,36784,15828,20956,2367,960,1407,773,315,458,1010,498,512,18142,7507,10635,81,35,46,10984,5036,5948,843,358,485,2561,1114,1447,23,5,18
187596,Total students enrolled for credit,2266,969,1297,2146,910,1236,12,6,6,10,6,4,56,26,30,2,0,2,30,15,15,5,1,4,5,5,0,0,0,0
187596,Undergraduate students,2259,966,1293,2139,907,1232,12,6,6,10,6,4,56,26,30,2,0,2,30,15,15,5,1,4,5,5,0,0,0,0
187596,Graduate student,7,3,4,7,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
187602,Total students enrolled for credit,73,8,65,3,1,2,2,0,2,5,0,5,45,6,39,0,0,0,17,1,16,1,0,1,0,0,0,0,0,0
187602,Undergraduate students,73,8,65,3,1,2,2,0,2,5,0,5,45,6,39,0,0,0,17,1,16,1,0,1,0,0,0,0,0,0
187620,Total students enrolled for credit,10610,4454,6156,150,79,71,79,36,43,241,146,95,7579,2985,4594,13,5,8,1818,838,980,133,62,71,190,88,102,407,215,192
187620,Undergraduate students,10610,4454,6156,150,79,71,79,36,43,241,146,95,7579,2985,4594,13,5,8,1818,838,980,133,62,71,190,88,102,407,215,192
187639,Total students enrolled for credit,5405,1741,3664,31,6,25,100,33,67,295,118,177,1824,599,1225,21,11,10,2797,863,1934,139,50,89,198,61,137,0,0,0
187639,Undergraduate students,5405,1741,3664,31,6,25,100,33,67,295,118,177,1824,599,1225,21,11,10,2797,863,1934,139,50,89,198,61,137,0,0,0
187648,Total students enrolled for credit,7440,3008,4432,180,71,109,97,38,59,359,203,156,2470,941,1529,37,23,14,3201,1217,1984,153,59,94,820,394,426,123,62,61
187648,Undergraduate students,5452,2418,3034,156,65,91,36,15,21,273,164,109,1939,801,1138,28,18,10,2128,909,1219,111,50,61,701,360,341,80,36,44
187648,Graduate student,1988,590,1398,24,6,18,61,23,38,86,39,47,531,140,391,9,5,4,1073,308,765,42,9,33,119,34,85,43,26,17
187666,Total students enrolled for credit,4019,1951,2068,116,75,41,37,20,17,73,35,38,2069,900,1169,0,0,0,1297,669,628,33,18,15,393,234,159,1,0,1
187666,Undergraduate students,4019,1951,2068,116,75,41,37,20,17,73,35,38,2069,900,1169,0,0,0,1297,669,628,33,18,15,393,234,159,1,0,1
187745,Total students enrolled for credit,958,405,553,629,271,358,7,1,6,4,2,2,187,83,104,0,0,0,82,29,53,17,7,10,29,12,17,3,0,3
187745,Undergraduate students,894,381,513,601,255,346,6,1,5,3,2,1,180,80,100,0,0,0,61,24,37,14,7,7,26,12,14,3,0,3
187745,Graduate student,64,24,40,28,16,12,1,0,1,1,0,1,7,3,4,0,0,0,21,5,16,3,0,3,3,0,3,0,0,0
187897,Total students enrolled for credit,4076,1420,2656,321,89,232,37,12,25,168,111,57,2125,723,1402,17,8,9,997,322,675,64,23,41,104,35,69,243,97,146
187897,Undergraduate students,2494,923,1571,214,61,153,14,4,10,128,84,44,1422,517,905,13,7,6,511,174,337,41,16,25,27,12,15,124,48,76
187897,Graduate student,1582,497,1085,107,28,79,23,8,15,40,27,13,703,206,497,4,1,3,486,148,338,23,7,16,77,23,54,119,49,70
187903,Total students enrolled for credit,3946,1449,2497,44,18,26,60,27,33,268,96,172,1813,656,1157,6,3,3,1508,550,958,46,23,23,198,74,124,3,2,1
187903,Undergraduate students,3946,1449,2497,44,18,26,60,27,33,268,96,172,1813,656,1157,6,3,3,1508,550,958,46,23,23,198,74,124,3,2,1
187912,Total students enrolled for credit,457,373,84,16,11,5,18,14,4,95,89,6,94,77,17,22,13,9,138,116,22,18,10,8,3,2,1,53,41,12
187912,Undergraduate students,457,373,84,16,11,5,18,14,4,95,89,6,94,77,17,22,13,9,138,116,22,18,10,8,3,2,1,53,41,12
187958,Total students enrolled for credit,3081,1187,1894,2247,834,1413,47,29,18,17,8,9,443,169,274,5,2,3,197,96,101,71,30,41,38,15,23,16,4,12
187958,Undergraduate students,3081,1187,1894,2247,834,1413,47,29,18,17,8,9,443,169,274,5,2,3,197,96,101,71,30,41,38,15,23,16,4,12
187967,Total students enrolled for credit,2471,1584,887,70,46,24,104,59,45,42,33,9,631,387,244,1,1,0,1298,852,446,92,56,36,56,28,28,177,122,55
187967,Undergraduate students,1707,1171,536,60,42,18,56,42,14,32,27,5,536,335,201,1,1,0,879,637,242,77,51,26,24,14,10,42,22,20
187967,Graduate student,764,413,351,10,4,6,48,17,31,10,6,4,95,52,43,0,0,0,419,215,204,15,5,10,32,14,18,135,100,35
187976,Total students enrolled for credit,2032,857,1175,116,46,70,56,22,34,36,16,20,984,388,596,6,4,2,730,336,394,53,24,29,34,14,20,17,7,10
187976,Undergraduate students,2032,857,1175,116,46,70,56,22,34,36,16,20,984,388,596,6,4,2,730,336,394,53,24,29,34,14,20,17,7,10
187985,Total students enrolled for credit,31224,13843,17381,1729,617,1112,1131,498,633,746,368,378,12979,5388,7591,57,37,20,11485,5284,6201,1005,430,575,577,301,276,1515,920,595
187985,Undergraduate students,23124,10207,12917,1404,525,879,832,364,468,577,288,289,10754,4513,6241,48,31,17,7797,3640,4157,770,338,432,326,158,168,616,350,266
187985,Graduate student,8100,3636,4464,325,92,233,299,134,165,169,80,89,2225,875,1350,9,6,3,3688,1644,2044,235,92,143,251,143,108,899,570,329
187994,Total students enrolled for credit,3087,1149,1938,106,35,71,45,18,27,147,75,72,1392,460,932,13,4,9,1193,465,728,79,31,48,42,17,25,70,44,26
187994,Undergraduate students,3087,1149,1938,106,35,71,45,18,27,147,75,72,1392,460,932,13,4,9,1193,465,728,79,31,48,42,17,25,70,44,26
188003,Total students enrolled for credit,3078,1185,1893,38,17,21,28,11,17,54,22,32,1598,565,1033,3,2,1,1160,472,688,47,17,30,90,47,43,60,32,28
188003,Undergraduate students,3078,1185,1893,38,17,21,28,11,17,54,22,32,1598,565,1033,3,2,1,1160,472,688,47,17,30,90,47,43,60,32,28
188021,Total students enrolled for credit,1726,625,1101,548,202,346,15,5,10,25,14,11,708,240,468,3,2,1,347,131,216,20,9,11,40,12,28,20,10,10
188021,Undergraduate students,1726,625,1101,548,202,346,15,5,10,25,14,11,708,240,468,3,2,1,347,131,216,20,9,11,40,12,28,20,10,10
188030,Total students enrolled for credit,16895,7742,9153,334,141,193,235,108,127,504,272,232,8781,3699,5082,28,13,15,5101,2327,2774,339,151,188,260,122,138,1313,909,404
188030,Undergraduate students,13379,6227,7152,284,126,158,162,72,90,394,217,177,7549,3260,4289,26,12,14,3789,1778,2011,263,113,150,181,91,90,731,558,173
188030,Graduate student,3516,1515,2001,50,15,35,73,36,37,110,55,55,1232,439,793,2,1,1,1312,549,763,76,38,38,79,31,48,582,351,231
188049,Total students enrolled for credit,3617,1387,2230,246,96,150,24,10,14,48,20,28,2250,859,1391,9,6,3,832,313,519,60,18,42,100,46,54,48,19,29
188049,Undergraduate students,3617,1387,2230,246,96,150,24,10,14,48,20,28,2250,859,1391,9,6,3,832,313,519,60,18,42,100,46,54,48,19,29
188058,Total students enrolled for credit,1506,583,923,142,45,97,22,13,9,37,23,14,1129,424,705,0,0,0,149,63,86,0,0,0,16,6,10,11,9,2
188058,Undergraduate students,1505,583,922,142,45,97,22,13,9,37,23,14,1128,424,704,0,0,0,149,63,86,0,0,0,16,6,10,11,9,2
188058,Graduate student,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
188100,Total students enrolled for credit,10746,4103,6643,3435,1363,2072,87,28,59,103,45,58,1778,754,1024,14,3,11,4614,1608,3006,191,77,114,429,187,242,95,38,57
188100,Undergraduate students,10746,4103,6643,3435,1363,2072,87,28,59,103,45,58,1778,754,1024,14,3,11,4614,1608,3006,191,77,114,429,187,242,95,38,57
188137,Total students enrolled for credit,7574,2945,4629,433,180,253,149,50,99,141,73,68,3668,1416,2252,10,4,6,2855,1107,1748,114,42,72,197,71,126,7,2,5
188137,Undergraduate students,7574,2945,4629,433,180,253,149,50,99,141,73,68,3668,1416,2252,10,4,6,2855,1107,1748,114,42,72,197,71,126,7,2,5
188146,Total students enrolled for credit,869,385,484,16,9,7,18,11,7,69,38,31,242,101,141,15,8,7,377,162,215,70,24,46,7,4,3,55,28,27
188146,Undergraduate students,869,385,484,16,9,7,18,11,7,69,38,31,242,101,141,15,8,7,377,162,215,70,24,46,7,4,3,55,28,27
188182,Total students enrolled for credit,1382,542,840,49,10,39,17,6,11,225,93,132,322,137,185,3,2,1,516,167,349,0,0,0,235,118,117,15,9,6
188182,Undergraduate students,579,306,273,3,1,2,4,2,2,61,40,21,268,124,144,1,0,1,103,57,46,0,0,0,128,74,54,11,8,3
188182,Graduate student,803,236,567,46,9,37,13,4,9,164,53,111,54,13,41,2,2,0,413,110,303,0,0,0,107,44,63,4,1,3
188207,Total students enrolled for credit,199,24,175,12,1,11,3,1,2,1,0,1,20,3,17,1,0,1,141,14,127,11,2,9,10,3,7,0,0,0
188207,Graduate student,199,24,175,12,1,11,3,1,2,1,0,1,20,3,17,1,0,1,141,14,127,11,2,9,10,3,7,0,0,0
188216,Total students enrolled for credit,541,256,285,541,256,285,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
188216,Undergraduate students,541,256,285,541,256,285,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
188225,Total students enrolled for credit,2294,912,1382,133,55,78,24,11,13,22,8,14,1325,528,797,6,3,3,675,253,422,53,30,23,44,20,24,12,4,8
188225,Undergraduate students,2294,912,1382,133,55,78,24,11,13,22,8,14,1325,528,797,6,3,3,675,253,422,53,30,23,44,20,24,12,4,8
188261,Total students enrolled for credit,1488,942,546,40,29,11,6,4,2,37,30,7,497,328,169,2,2,0,551,368,183,2,2,0,351,177,174,2,2,0
188261,Undergraduate students,1488,942,546,40,29,11,6,4,2,37,30,7,497,328,169,2,2,0,551,368,183,2,2,0,351,177,174,2,2,0
188289,Total students enrolled for credit,112,6,106,2,0,2,0,0,0,0,0,0,87,5,82,0,0,0,21,1,20,0,0,0,2,0,2,0,0,0
188289,Undergraduate students,112,6,106,2,0,2,0,0,0,0,0,0,87,5,82,0,0,0,21,1,20,0,0,0,2,0,2,0,0,0
188304,Total students enrolled for credit,4454,1637,2817,138,34,104,69,28,41,305,132,173,1613,516,1097,18,13,5,1280,393,887,26,9,17,944,481,463,61,31,30
188304,Undergraduate students,3241,1312,1929,77,23,54,38,18,20,165,99,66,1296,434,862,18,13,5,720,240,480,17,8,9,865,453,412,45,24,21
188304,Graduate student,1213,325,888,61,11,50,31,10,21,140,33,107,317,82,235,0,0,0,560,153,407,9,1,8,79,28,51,16,7,9
188340,Total students enrolled for credit,1905,1648,257,3,2,1,186,165,21,347,296,51,647,540,107,30,27,3,250,219,31,45,37,8,300,272,28,97,90,7
188340,Undergraduate students,1898,1644,254,3,2,1,186,165,21,345,295,50,644,538,106,30,27,3,250,219,31,45,37,8,299,271,28,96,90,6
188340,Graduate student,7,4,3,0,0,0,0,0,0,2,1,1,3,2,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1
188429,Total students enrolled for credit,8866,2617,6249,11,1,10,790,240,550,1066,234,832,1320,362,958,3,0,3,4430,1255,3175,172,50,122,513,170,343,561,305,256
188429,Undergraduate students,5768,1798,3970,7,1,6,569,187,382,546,137,409,909,260,649,0,0,0,2937,898,2039,116,36,80,455,153,302,229,126,103
188429,Graduate student,3098,819,2279,4,0,4,221,53,168,520,97,423,411,102,309,3,0,3,1493,357,1136,56,14,42,58,17,41,332,179,153
188438,Total students enrolled for credit,4928,2088,2840,22,7,15,50,20,30,157,86,71,169,73,96,3,1,2,4071,1684,2387,84,35,49,353,170,183,19,12,7
188438,Undergraduate students,4928,2088,2840,22,7,15,50,20,30,157,86,71,169,73,96,3,1,2,4071,1684,2387,84,35,49,353,170,183,19,12,7
188517,Total students enrolled for credit,635,148,487,12,2,10,10,1,9,181,43,138,79,22,57,1,0,1,295,64,231,41,11,30,14,4,10,2,1,1
188517,Undergraduate students,635,148,487,12,2,10,10,1,9,181,43,138,79,22,57,1,0,1,295,64,231,41,11,30,14,4,10,2,1,1
188526,Total students enrolled for credit,1427,567,860,4,1,3,211,85,126,48,14,34,61,25,36,1,0,1,915,364,551,18,8,10,90,37,53,79,33,46
188526,Undergraduate students,911,353,558,0,0,0,139,57,82,32,10,22,39,16,23,0,0,0,593,225,368,14,6,8,39,15,24,55,24,31
188526,Graduate student,516,214,302,4,1,3,72,28,44,16,4,12,22,9,13,1,0,1,322,139,183,4,2,2,51,22,29,24,9,15
188535,Total students enrolled for credit,396,199,197,0,0,0,12,10,2,19,8,11,31,14,17,0,0,0,293,151,142,3,0,3,33,13,20,5,3,2
188535,Graduate student,396,199,197,0,0,0,12,10,2,19,8,11,31,14,17,0,0,0,293,151,142,3,0,3,33,13,20,5,3,2
188580,Total students enrolled for credit,845,376,469,4,1,3,212,101,111,42,14,28,47,25,22,3,1,2,473,207,266,31,14,17,23,10,13,10,3,7
188580,Graduate student,845,376,469,4,1,3,212,101,111,42,14,28,47,25,22,3,1,2,473,207,266,31,14,17,23,10,13,10,3,7
188641,Total students enrolled for credit,2756,1270,1486,10,3,7,58,25,33,357,140,217,255,102,153,0,0,0,1396,696,700,50,25,25,551,244,307,79,35,44
188641,Undergraduate students,2017,1045,972,7,3,4,37,21,16,172,90,82,138,76,62,0,0,0,1184,610,574,49,24,25,377,197,180,53,24,29
188641,Graduate student,739,225,514,3,0,3,21,4,17,185,50,135,117,26,91,0,0,0,212,86,126,1,1,0,174,47,127,26,11,15
188650,Total students enrolled for credit,616,68,548,2,0,2,5,2,3,369,44,325,146,12,134,1,0,1,15,2,13,28,4,24,49,4,45,1,0,1
188650,Undergraduate students,616,68,548,2,0,2,5,2,3,369,44,325,146,12,134,1,0,1,15,2,13,28,4,24,49,4,45,1,0,1
188669,Total students enrolled for credit,115,19,96,0,0,0,1,0,1,28,8,20,9,3,6,0,0,0,12,0,12,14,2,12,0,0,0,51,6,45
188669,Undergraduate students,115,19,96,0,0,0,1,0,1,28,8,20,9,3,6,0,0,0,12,0,12,14,2,12,0,0,0,51,6,45
188678,Total students enrolled for credit,327,107,220,0,0,0,6,2,4,39,18,21,29,10,19,2,0,2,124,36,88,19,8,11,1,1,0,107,32,75
188678,Undergraduate students,327,107,220,0,0,0,6,2,4,39,18,21,29,10,19,2,0,2,124,36,88,19,8,11,1,1,0,107,32,75
188687,Total students enrolled for credit,693,288,405,4,2,2,11,8,3,193,70,123,80,23,57,5,0,5,363,176,187,0,0,0,37,9,28,0,0,0
188687,Undergraduate students,693,288,405,4,2,2,11,8,3,193,70,123,80,23,57,5,0,5,363,176,187,0,0,0,37,9,28,0,0,0
188696,Total students enrolled for credit,215,34,181,3,2,1,11,0,11,6,3,3,12,3,9,1,0,1,84,9,75,7,3,4,0,0,0,91,14,77
188696,Undergraduate students,215,34,181,3,2,1,11,0,11,6,3,3,12,3,9,1,0,1,84,9,75,7,3,4,0,0,0,91,14,77
188854,Total students enrolled for credit,1853,573,1280,6,2,4,26,9,17,301,104,197,517,166,351,16,8,8,678,202,476,154,43,111,59,19,40,96,20,76
188854,Undergraduate students,1853,573,1280,6,2,4,26,9,17,301,104,197,517,166,351,16,8,8,678,202,476,154,43,111,59,19,40,96,20,76
188890,Total students enrolled for credit,1902,1862,40,19,19,0,48,46,2,447,436,11,404,399,5,0,0,0,125,118,7,0,0,0,859,844,15,0,0,0
188890,Undergraduate students,1902,1862,40,19,19,0,48,46,2,447,436,11,404,399,5,0,0,0,125,118,7,0,0,0,859,844,15,0,0,0
188915,Total students enrolled for credit,58,3,55,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,56,3,53,0,0,0,0,0,0,0,0,0
188915,Undergraduate students,58,3,55,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,56,3,53,0,0,0,0,0,0,0,0,0
188942,Total students enrolled for credit,152,0,152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,139,0,139,0,0,0,0,0,0,13,0,13
188942,Undergraduate students,152,0,152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,139,0,139,0,0,0,0,0,0,13,0,13
189015,Total students enrolled for credit,773,79,694,2,0,2,41,2,39,62,7,55,120,20,100,0,0,0,411,40,371,9,3,6,122,7,115,6,0,6
189015,Graduate student,773,79,694,2,0,2,41,2,39,62,7,55,120,20,100,0,0,0,411,40,371,9,3,6,122,7,115,6,0,6
189088,Total students enrolled for credit,2557,1064,1493,16,6,10,134,54,80,167,74,93,69,27,42,0,0,0,1320,573,747,0,0,0,488,189,299,363,141,222
189088,Undergraduate students,2101,876,1225,15,6,9,131,53,78,157,69,88,66,27,39,0,0,0,1203,523,680,0,0,0,256,99,157,273,99,174
189088,Graduate student,456,188,268,1,0,1,3,1,2,10,5,5,3,0,3,0,0,0,117,50,67,0,0,0,232,90,142,90,42,48
189097,Total students enrolled for credit,2668,4,2664,4,0,4,366,0,366,167,0,167,327,2,325,1,0,1,1374,1,1373,148,0,148,6,1,5,275,0,275
189097,Undergraduate students,2668,4,2664,4,0,4,366,0,366,167,0,167,327,2,325,1,0,1,1374,1,1373,148,0,148,6,1,5,275,0,275
189219,Total students enrolled for credit,368,353,15,0,0,0,30,30,0,125,118,7,136,130,6,0,0,0,66,65,1,2,2,0,9,8,1,0,0,0
189219,Undergraduate students,368,353,15,0,0,0,30,30,0,125,118,7,136,130,6,0,0,0,66,65,1,2,2,0,9,8,1,0,0,0
189228,Total students enrolled for credit,5577,1995,3582,30,12,18,137,56,81,1389,458,931,1203,442,761,12,6,6,357,132,225,0,0,0,1788,608,1180,661,281,380
189228,Undergraduate students,5577,1995,3582,30,12,18,137,56,81,1389,458,931,1203,442,761,12,6,6,357,132,225,0,0,0,1788,608,1180,661,281,380
189264,Total students enrolled for credit,17,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,17,0,0,0,0,0,0,0,0,0,0
189264,Undergraduate students,17,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,17,0,0,0,0,0,0,0,0,0,0
189273,Total students enrolled for credit,38,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,38,0,0,0,0,0,0,0,0,0,0
189273,Undergraduate students,38,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,38,0,0,0,0,0,0,0,0,0,0
189282,Total students enrolled for credit,235,50,185,0,0,0,33,7,26,70,15,55,31,4,27,20,8,12,81,16,65,0,0,0,0,0,0,0,0,0
189282,Undergraduate students,235,50,185,0,0,0,33,7,26,70,15,55,31,4,27,20,8,12,81,16,65,0,0,0,0,0,0,0,0,0
189404,Total students enrolled for credit,144,4,140,0,0,0,8,0,8,44,2,42,32,2,30,0,0,0,21,0,21,1,0,1,24,0,24,14,0,14
189404,Undergraduate students,144,4,140,0,0,0,8,0,8,44,2,42,32,2,30,0,0,0,21,0,21,1,0,1,24,0,24,14,0,14
189413,Total students enrolled for credit,1226,279,947,0,0,0,2,1,1,234,44,190,973,230,743,0,0,0,17,4,13,0,0,0,0,0,0,0,0,0
189413,Undergraduate students,1084,254,830,0,0,0,2,1,1,196,39,157,873,212,661,0,0,0,13,2,11,0,0,0,0,0,0,0,0,0
189413,Graduate student,142,25,117,0,0,0,0,0,0,38,5,33,100,18,82,0,0,0,4,2,2,0,0,0,0,0,0,0,0,0
189459,Total students enrolled for credit,671,196,475,3,0,3,9,3,6,118,34,84,76,21,55,1,1,0,159,47,112,9,3,6,296,87,209,0,0,0
189459,Undergraduate students,671,196,475,3,0,3,9,3,6,118,34,84,76,21,55,1,1,0,159,47,112,9,3,6,296,87,209,0,0,0
189468,Total students enrolled for credit,226,10,216,2,0,2,11,0,11,30,1,29,35,3,32,3,0,3,137,6,131,3,0,3,3,0,3,2,0,2
189468,Undergraduate students,226,10,216,2,0,2,11,0,11,30,1,29,35,3,32,3,0,3,137,6,131,3,0,3,3,0,3,2,0,2
189477,Total students enrolled for credit,274,4,270,0,0,0,5,0,5,89,1,88,169,2,167,0,0,0,9,1,8,2,0,2,0,0,0,0,0,0
189477,Undergraduate students,274,4,270,0,0,0,5,0,5,89,1,88,169,2,167,0,0,0,9,1,8,2,0,2,0,0,0,0,0,0
189501,Total students enrolled for credit,1171,563,608,0,0,0,126,54,72,68,25,43,129,54,75,1,0,1,714,363,351,24,13,11,83,42,41,26,12,14
189501,Graduate student,1171,563,608,0,0,0,126,54,72,68,25,43,129,54,75,1,0,1,714,363,351,24,13,11,83,42,41,26,12,14
189547,Total students enrolled for credit,9595,4269,5326,28,17,11,246,116,130,750,362,388,611,257,354,5,1,4,5355,2415,2940,167,79,88,2247,924,1323,186,98,88
189547,Undergraduate students,9595,4269,5326,28,17,11,246,116,130,750,362,388,611,257,354,5,1,4,5355,2415,2940,167,79,88,2247,924,1323,186,98,88
189556,Total students enrolled for credit,512,119,393,1,1,0,3,1,2,96,22,74,15,1,14,1,1,0,368,89,279,24,4,20,4,0,4,0,0,0
189556,Undergraduate students,512,119,393,1,1,0,3,1,2,96,22,74,15,1,14,1,1,0,368,89,279,24,4,20,4,0,4,0,0,0
189565,Total students enrolled for credit,425,112,313,2,0,2,2,1,1,34,7,27,7,2,5,0,0,0,317,80,237,9,3,6,54,19,35,0,0,0
189565,Undergraduate students,425,112,313,2,0,2,2,1,1,34,7,27,7,2,5,0,0,0,317,80,237,9,3,6,54,19,35,0,0,0
189574,Total students enrolled for credit,737,187,550,9,1,8,22,10,12,224,55,169,59,15,44,2,1,1,331,80,251,27,4,23,56,16,40,7,5,2
189574,Undergraduate students,737,187,550,9,1,8,22,10,12,224,55,169,59,15,44,2,1,1,331,80,251,27,4,23,56,16,40,7,5,2
189583,Total students enrolled for credit,887,212,675,6,1,5,20,6,14,559,128,431,72,19,53,1,0,1,189,50,139,31,5,26,9,3,6,0,0,0
189583,Undergraduate students,887,212,675,6,1,5,20,6,14,559,128,431,72,19,53,1,0,1,189,50,139,31,5,26,9,3,6,0,0,0
189592,Total students enrolled for credit,647,152,495,1,0,1,6,1,5,217,48,169,57,9,48,1,0,1,279,65,214,56,24,32,30,5,25,0,0,0
189592,Undergraduate students,647,152,495,1,0,1,6,1,5,217,48,169,57,9,48,1,0,1,279,65,214,56,24,32,30,5,25,0,0,0
189705,Total students enrolled for credit,4436,2065,2371,14,4,10,85,40,45,333,130,203,224,95,129,5,0,5,3048,1401,1647,67,27,40,466,260,206,194,108,86
189705,Undergraduate students,2861,1461,1400,8,1,7,63,30,33,223,81,142,171,77,94,5,0,5,1978,1015,963,46,21,25,236,156,80,131,80,51
189705,Graduate student,1575,604,971,6,3,3,22,10,12,110,49,61,53,18,35,0,0,0,1070,386,684,21,6,15,230,104,126,63,28,35
189714,Total students enrolled for credit,432,10,422,1,0,1,6,0,6,62,1,61,80,4,76,0,0,0,270,5,265,5,0,5,7,0,7,1,0,1
189714,Undergraduate students,432,10,422,1,0,1,6,0,6,62,1,61,80,4,76,0,0,0,270,5,265,5,0,5,7,0,7,1,0,1
189811,Total students enrolled for credit,785,122,663,4,0,4,92,27,65,264,35,229,156,12,144,12,3,9,87,15,72,34,12,22,136,18,118,0,0,0
189811,Undergraduate students,785,122,663,4,0,4,92,27,65,264,35,229,156,12,144,12,3,9,87,15,72,34,12,22,136,18,118,0,0,0
189839,Total students enrolled for credit,6956,2776,4180,32,15,17,121,37,84,407,159,248,333,131,202,5,1,4,5518,2187,3331,92,27,65,389,188,201,59,31,28
189839,Undergraduate students,6956,2776,4180,32,15,17,121,37,84,407,159,248,333,131,202,5,1,4,5518,2187,3331,92,27,65,389,188,201,59,31,28
189848,Total students enrolled for credit,1173,318,855,7,2,5,8,3,5,91,42,49,63,17,46,0,0,0,791,198,593,25,11,14,183,42,141,5,3,2
189848,Undergraduate students,1173,318,855,7,2,5,8,3,5,91,42,49,63,17,46,0,0,0,791,198,593,25,11,14,183,42,141,5,3,2
189857,Total students enrolled for credit,520,520,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,433,433,0,0,0,0,0,0,0,87,87,0
189857,Undergraduate students,421,421,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,344,344,0,0,0,0,0,0,0,77,77,0
189857,Graduate student,99,99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89,89,0,0,0,0,0,0,0,10,10,0
189954,Total students enrolled for credit,53,27,26,0,0,0,0,0,0,40,26,14,0,0,0,0,0,0,13,1,12,0,0,0,0,0,0,0,0,0
189954,Undergraduate students,53,27,26,0,0,0,0,0,0,40,26,14,0,0,0,0,0,0,13,1,12,0,0,0,0,0,0,0,0,0
189981,Total students enrolled for credit,83,62,21,0,0,0,0,0,0,5,4,1,2,2,0,1,1,0,75,55,20,0,0,0,0,0,0,0,0,0
189981,Graduate student,83,62,21,0,0,0,0,0,0,5,4,1,2,2,0,1,1,0,75,55,20,0,0,0,0,0,0,0,0,0
189990,Total students enrolled for credit,754,16,738,2,0,2,69,1,68,126,2,124,263,5,258,0,0,0,199,4,195,7,1,6,88,3,85,0,0,0
189990,Undergraduate students,754,16,738,2,0,2,69,1,68,126,2,124,263,5,258,0,0,0,199,4,195,7,1,6,88,3,85,0,0,0
190008,Total students enrolled for credit,64,22,42,0,0,0,1,0,1,13,8,5,4,0,4,2,0,2,37,11,26,0,0,0,0,0,0,7,3,4
190008,Undergraduate students,64,22,42,0,0,0,1,0,1,13,8,5,4,0,4,2,0,2,37,11,26,0,0,0,0,0,0,7,3,4
